RETAIL,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,
4075,false,5,8,-1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,
1.08,1.5,,,,,,,,,,,,,,,,,
1.16,2,,,,,,,,,,,,,,,,,
1.24,2.5,,,,,,,,,,,,,,,,,
1.35,3.4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3
224,8,2,3,30,8,40,0,0,0,1,0,19,32,0,11,"5,2","0,0",
192,26,12,3,30,8,0,0,-12,10,6,8,10,32,0,0,"10,12","3,10",
192,17,3,2,30,8,0,0,12,0,3,22,13,32,0,0,"13,3","2,1","7,0"
192,9,3,3,40,8,0,0,0,0,3,3,10,32,0,0,"8,4","0,2",
192,16,10,3,40,8,0,0,6,0,9,0,0,32,0,0,"9,11","1,9",
192,10,2,2,40,8,0,0,0,0,3,0,0,32,0,0,"5,2","2,0",
192,21,14,3,40,6,0,0,0,19,2,0,0,32,25,0,"10,14","0,12",
192,16,7,2,50,6,0,4,-5,0,8,16,18,32,0,0,"11,7","3,5","7,0"
