RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4089,false,5,6,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.1,1,,,,,,,,,,,,,,,,
1.2,1,,,,,,,,,,,,,,,,
1.3,1,,,,,,,,,,,,,,,,
1.5,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
224,8,2,3,50,20,21,0,10,0,0,0,20,32,0,11,"5,2","0,0"
192,19,13,3,30,20,0,0,0,11,2,7,15,32,0,0,"4,14","1,12"
192,10,5,2,30,20,0,0,-3,3,2,3,15,32,0,0,"11,5","1,3"
192,16,8,3,30,20,0,0,-3,5,1,3,15,32,25,0,"9,8","0,6"
192,10,3,3,30,10,0,0,-8,0,2,7,13,32,0,0,"13,3","2,1"
192,21,12,2,30,10,0,4,-13,0,11,20,15,32,0,0,"14,12","3,10"
